date,Uriah,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-01,0,0,0,0,0,58,54,0,0,61,0,0,0,61,50,39
09-01-01,0,0,48,0,0,58,0,0,0,61,0,0,0,59,0,0
09-02-01,32,0,47,0,0,55,48,0,0,62,0,0,0,59,54,0
09-03-01,40,0,0,0,0,57,54,0,0,61,0,0,0,61,53,38
09-04-01,0,0,46,0,0,0,55,0,0,60,0,0,0,57,54,38
09-05-01,40,0,0,0,0,57,56,0,0,60,0,0,0,59,54,37
09-06-01,40,0,47,37,0,58,54,0,33,62,0,0,0,59,56,39
09-07-01,40,0,47,32,0,57,55,0,0,61,0,0,0,60,54,0
09-08-01,0,0,42,39,0,56,54,0,0,63,0,0,0,59,0,0
09-09-01,0,0,0,0,0,57,54,0,0,63,0,0,0,60,54,36
09-10-01,0,0,42,0,0,57,53,0,32,62,0,0,0,60,54,0
09-11-01,45,0,47,0,0,58,54,0,0,63,0,0,0,57,54,38
09-12-01,39,0,0,0,0,57,55,0,31,62,0,0,0,59,54,0
09-13-01,0,0,46,39,0,0,55,0,38,62,0,0,0,61,53,0
09-14-01,0,0,49,0,0,60,56,0,0,60,0,0,0,57,47,0
09-15-01,0,0,47,0,0,58,50,0,38,63,0,0,0,59,39,41
09-16-01,0,0,49,0,0,55,48,0,37,62,0,0,0,58,45,0
09-17-01,0,0,49,0,0,57,0,0,36,62,0,0,0,58,46,39
09-18-01,40,0,47,0,0,57,49,0,0,63,0,0,0,57,0,40
09-19-01,0,0,42,0,0,58,51,0,35,63,0,0,0,58,47,0
09-20-01,40,0,0,0,0,60,0,0,40,63,0,0,0,58,42,40
09-21-01,44,0,44,0,0,56,0,0,35,62,0,0,0,58,0,39
09-22-01,0,0,47,0,0,59,33,0,36,63,0,0,0,59,0,39
09-23-01,0,0,45,0,0,58,47,0,42,61,0,0,0,58,0,0
09-24-01,42,0,49,0,0,58,0,0,31,63,0,0,0,56,41,0
09-25-01,41,0,48,0,0,58,0,0,37,63,0,0,0,58,31,39
09-26-01,0,0,47,0,0,57,0,0,0,62,0,0,31,56,33,40
09-27-01,42,0,48,0,0,57,0,0,0,62,0,0,0,58,0,0
09-28-01,41,0,48,0,0,58,33,0,0,62,0,0,0,56,0,42
09-29-01,40,0,46,0,0,60,31,0,0,60,0,0,0,59,0,0
09-30-01,41,0,46,0,0,59,0,0,0,61,0,0,0,58,0,40
09-31-01,43,0,48,0,0,58,0,0,0,46,0,0,0,59,0,0
09-32-01,43,0,41,0,0,61,0,0,0,47,0,0,0,59,0,0
09-33-01,44,0,33,0,0,61,0,0,0,45,0,0,0,61,0,0
09-34-01,41,0,46,0,0,61,0,0,0,45,0,0,0,60,0,0
09-35-01,39,0,42,0,0,62,0,0,0,41,0,0,0,59,0,0
09-36-01,41,0,47,0,0,62,0,0,0,0,0,0,0,59,0,0
09-37-01,38,0,48,0,0,61,0,0,0,38,0,0,0,60,0,0
09-38-01,39,0,46,0,0,60,0,0,0,42,0,0,0,60,0,0
09-39-01,43,0,52,31,0,60,0,0,0,37,0,0,0,61,32,0
09-40-01,39,0,50,0,0,57,0,0,0,44,0,0,0,61,0,0
09-41-01,43,0,42,0,0,58,0,0,0,42,0,0,0,60,38,0
09-42-01,31,0,51,0,0,59,0,0,0,39,0,0,0,58,36,0
09-43-01,0,0,50,0,0,60,0,0,0,36,0,0,0,55,0,0
09-44-01,0,0,50,0,0,60,0,0,0,0,0,0,0,57,0,0
09-45-01,0,0,47,0,0,60,0,0,0,0,0,0,0,57,0,0
09-46-01,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-47-01,0,0,48,0,0,60,0,0,0,0,0,0,0,57,0,0
09-48-01,0,0,49,0,0,60,0,0,0,0,0,0,0,57,32,0
09-49-01,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-50-01,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-51-01,0,0,47,0,0,60,0,0,0,0,0,0,0,57,0,0
